algorithm,seed,total_travel_time_s,total_distance_m,congestion_cost,n_violations,runtime_s
dijkstra_all_shortest,0,21213.044064840582,272570.7621756027,42830.0,0,2.0999868866056204e-06
k_shortest_greedy,0,22458.244926910636,285972.69317068486,33852.0,0,0.01434630001313053
qpso_hybrid,0,21539.35316201371,274994.8875327315,34136.0,0,29.864734699993278
dijkstra_all_shortest,1,21557.23667863571,276148.94211524096,44108.0,0,3.2999960239976645e-06
k_shortest_greedy,1,22640.802188781592,287975.20140266564,39150.0,0,0.019870599993737414
qpso_hybrid,1,21809.05435410679,277742.50888566545,38818.0,0,29.19449650000024
dijkstra_all_shortest,2,21875.620401978107,278819.4329836142,39139.0,0,2.7999922167509794e-06
k_shortest_greedy,2,22932.692407336825,291561.927222333,34684.0,0,0.01752900000428781
qpso_hybrid,2,22149.900981871233,281899.4136740628,34824.0,0,31.43188089999603
dijkstra_all_shortest,3,21173.607826732878,271010.1462746417,41155.0,0,3.1999952625483274e-06
k_shortest_greedy,3,22144.611936274014,282040.3745440673,34834.0,0,0.01817569999548141
qpso_hybrid,3,21511.327579060868,273290.50431320834,34113.0,0,25.83530529998825
dijkstra_all_shortest,4,23205.743184231178,296578.292102576,50396.0,0,2.4000037228688598e-06
k_shortest_greedy,4,24484.068674552167,310510.0717462038,42745.0,0,0.015151799991144799
qpso_hybrid,4,23498.481369067387,298413.00928986055,42448.0,0,16.29226750000089
dijkstra_all_shortest,5,22157.47570517554,282124.99400254304,43672.0,0,5.599998985417187e-06
k_shortest_greedy,5,23589.46894494788,298252.6729663339,38318.0,0,0.017543099995236844
qpso_hybrid,5,22423.154007931967,284515.05466209166,36878.0,0,18.89631100000406
dijkstra_all_shortest,6,22153.866848721093,281583.5491372279,49185.0,0,5.1000097300857306e-06
k_shortest_greedy,6,23309.057043323144,294229.3444565181,39695.0,0,0.018831900000805035
qpso_hybrid,6,22440.851286795903,283132.6113182205,39776.0,0,15.859719200001564
dijkstra_all_shortest,7,20676.292623171623,266156.6557627034,42480.0,0,2.7999922167509794e-06
k_shortest_greedy,7,21754.80557652737,278582.79106894386,35946.0,0,0.01564630000211764
qpso_hybrid,7,20963.7783572233,268221.24420345406,35604.0,0,13.886492300007376
dijkstra_all_shortest,8,22032.477275202662,279589.0387356348,46855.0,0,6.000002031214535e-06
k_shortest_greedy,8,23264.579512747972,294200.09148083685,38018.0,0,0.015268999995896593
qpso_hybrid,8,22400.111716827232,283379.522227676,37660.0,0,25.472571499994956
dijkstra_all_shortest,9,20587.82895613324,264143.3284444341,46010.0,0,3.700013621710241e-06
k_shortest_greedy,9,21957.31365109379,279320.6907115885,37751.0,0,0.021505700002308004
qpso_hybrid,9,20934.076151867273,266925.737777383,37539.0,0,18.74899710000318
